ID,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags
1,14/07/2016,Unknown Agency in India (Airtel?),Cloudflare,An unknown agency in India mysteriously hijacks the traffic of local users directed to several websites including The Pirate Bay.,Unknown,Industry: Internet Service,CC,IN,http://www.theregister.co.uk/2016/07/14/cloudflare_investigating_mystery_interception_of_site_traffic_across_india/,"Cloudflare, Airtel"
2,15/07/2016,Mons,Several Pro-ISIS Websites,"An unknown attacker going by the handle of Mons, takes down several Pro-ISIS websites.",DDoS,Org: Terrorism,H,N/A,https://www.hackread.com/ddos-attack-on-pro-isis-websites/,"ISIS, Mons"
3,16/07/2016,?,RT.com,RT.com is target of a sustained DDoS attack during the coverage of the attempted coup in Turkey.,DDoS,News,CW,RU,https://www.rt.com/news/351645-rt-massive-ddos-attack/,"RT.com, Turkey"
4,16/07/2016,AnonKeyGen,The Websites of the cities of Loon and Panglao,Hackers claiming to be Chinese deface the official government portals for two local government units (LGUs) from the Philippines: the cities of Loon and Panglao. The defacements come just days after the Permanent Court of Arbitration at The Hague ruled in favour of the Philippines over the South China Sea dispute.,Defacement,Government,CW,PH,http://news.softpedia.com/news/chinese-hackers-deface-two-philippines-government-websites-506385.shtml,"AnonKeyGen, Loon, Panglao"
5,17/07/2016,?,Library of Congress (loc.gov),The Library of Congress is the target of a 4 days DDoS attack.,DDoS,Government,CC,US,https://blogs.loc.gov/loc/2016/07/library-fends-off-ddos-attack/,"Library of Congress, loc.gov"
6,17/07/2016,PoodleCorp,Pokemon GO Servers,PoodleCorp hackers claim to have taken down the Pokemon GO Servers.,DDoS,Industry: Video Games,CC,JP,http://news.softpedia.com/news/pokemon-go-servers-suffer-ddos-attack-at-the-hands-of-poodlecorp-506386.shtml,"PoodleCorp, Pokemon GO"
7,18/07/2016,OurMine,Pokemon GO Servers,This time OurMine hackers claim to have taken down the Pokemon GO servers.,DDoS,Industry: Video Games,CC,JP,http://www.ibtimes.co.uk/pokemon-go-servers-go-down-again-following-ddos-attack-claimed-by-ourmine-hackers-1571147,"OurMine, Pokemon GO"
8,18/07/2016,AnonKeyGen,Philippines Commision On Audit (COA),The same alleged Chinese hackers deface the official portal of the Commission On Audit.,Defacement,Government,CW,PH,http://www.ibtimes.co.uk/chinese-hackers-suspected-behind-philippines-government-websites-hack-1571097,"AnonKeyGen, COA, Commission On Audit"
9,18/07/2016,?,Road Sign,Another example of road sign hacking: someone hacks into the electronic sign in a Cobb County neighborhood (Georgia) and hacks it with anti-police messages.,Defacement,Road Sign,CC,US,https://www.hackread.com/road-sign-hacked-with-anti-police-message/,Cobb County
10,19/07/2016,Phineas Fisher?,AKP (Turkey's ruling political party).,"WikiLeaks publishes what it’s calling the Erdoğan Emails, a searchable collection of 294,548 emails it says are leaked from the AKP, Turkey’s ruling political party.",Unknown,Org: Political Party,H,TR,https://www.wired.com/2016/07/wikileaks-dumps-erdogan-emails-turkeys-failed-coup/,"Wikileaks, Turkey, AKP, Phineas Fisher"
